0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
1.0,5.0,29.0,61.0,21.0,32.0,5.0,50.0,3.0,16.0,0.0,27.0,63.0,36.0,28.0,8.0,6.0,10.0,12.0,2.0,7.0,0.0,1.0,3.0,0.0,78.0,15.0,40.0,14.0,33.0,31.0,49.0,13.0,5.0,12.0,46.0,119.0,46.0,35.0,1.0,7.0,3.0,19.0,0.0,1.0,1.0,3.0,1.0,0.0,0.0
1.0,0.0,39.0,75.0,36.0,42.0,8.0,58.0,6.0,19.0,0.0,33.0,15.0,52.0,5.0,13.0,8.0,19.0,15.0,3.0,8.0,1.0,2.0,0.0,0.0,16.0,25.0,4.0,25.0,40.0,41.0,63.0,29.0,14.0,18.0,53.0,17.0,67.0,7.0,1.0,0.0,4.0,25.0,3.0,2.0,2.0,4.0,1.0,0.0,0.0
1.0,2.0,52.0,14.0,53.0,6.0,13.0,12.0,10.0,19.0,0.0,39.0,30.0,59.0,16.0,20.0,5.0,26.0,4.0,6.0,6.0,3.0,3.0,2.0,0.0,28.0,37.0,10.0,36.0,9.0,55.0,15.0,41.0,17.0,25.0,65.0,49.0,87.0,13.0,1.0,1.0,6.0,5.0,5.0,2.0,4.0,6.0,3.0,0.0,0.0
0.0,3.0,63.0,29.0,63.0,15.0,18.0,26.0,16.0,7.0,0.0,11.0,39.0,77.0,22.0,27.0,7.0,36.0,7.0,8.0,9.0,5.0,0.0,2.0,0.0,50.0,47.0,22.0,42.0,13.0,69.0,31.0,61.0,6.0,38.0,15.0,74.0,18.0,22.0,2.0,3.0,6.0,12.0,8.0,3.0,6.0,0.0,3.0,0.0,0.0
0.0,3.0,15.0,49.0,4.0,25.0,19.0,43.0,23.0,10.0,1.0,22.0,53.0,13.0,27.0,5.0,10.0,2.0,10.0,13.0,11.0,7.0,1.0,2.0,0.0,76.0,11.0,28.0,7.0,23.0,14.0,42.0,79.0,12.0,56.0,27.0,100.0,39.0,27.0,2.0,4.0,5.0,16.0,9.0,4.0,6.0,3.0,5.0,0.0,0.0
0.0,3.0,31.0,66.0,15.0,32.0,2.0,68.0,5.0,12.0,0.0,31.0,63.0,28.0,32.0,10.0,10.0,7.0,11.0,2.0,14.0,1.0,1.0,3.0,0.0,95.0,21.0,37.0,15.0,33.0,21.0,63.0,28.0,15.0,15.0,37.0,124.0,57.0,34.0,2.0,5.0,9.0,19.0,1.0,5.0,2.0,5.0,1.0,0.0,0.0
0.0,2.0,42.0,84.0,25.0,40.0,9.0,80.0,9.0,16.0,2.0,42.0,13.0,47.0,10.0,11.0,13.0,17.0,13.0,8.0,15.0,2.0,2.0,0.0,0.0,21.0,35.0,6.0,31.0,47.0,40.0,78.0,43.0,18.0,21.0,51.0,22.0,75.0,6.0,3.0,2.0,9.0,20.0,3.0,7.0,4.0,6.0,2.0,0.0,0.0
1.0,3.0,58.0,16.0,39.0,2.0,15.0,14.0,16.0,17.0,4.0,45.0,30.0,66.0,14.0,17.0,2.0,24.0,4.0,11.0,2.0,5.0,5.0,1.0,0.0,37.0,44.0,18.0,38.0,12.0,52.0,17.0,57.0,25.0,29.0,68.0,49.0,91.0,17.0,3.0,4.0,12.0,1.0,5.0,1.0,4.0,7.0,5.0,0.0,0.0
0.0,5.0,81.0,35.0,53.0,13.0,19.0,27.0,21.0,7.0,4.0,10.0,44.0,83.0,22.0,28.0,7.0,29.0,9.0,14.0,4.0,7.0,2.0,1.0,0.0,65.0,53.0,27.0,41.0,20.0,68.0,25.0,72.0,7.0,36.0,9.0,82.0,18.0,27.0,3.0,8.0,17.0,5.0,7.0,1.0,6.0,1.0,5.0,0.0,0.0
0.0,8.0,13.0,53.0,13.0,21.0,22.0,47.0,25.0,10.0,7.0,18.0,61.0,21.0,26.0,7.0,9.0,6.0,15.0,16.0,6.0,10.0,3.0,1.0,0.0,87.0,12.0,37.0,7.0,31.0,17.0,40.0,87.0,14.0,47.0,21.0,104.0,37.0,34.0,0.0,12.0,6.0,10.0,8.0,3.0,7.0,3.0,6.0,0.0,0.0
1.0,10.0,29.0,72.0,25.0,27.0,4.0,60.0,8.0,13.0,0.0,30.0,75.0,34.0,33.0,12.0,15.0,11.0,19.0,3.0,8.0,0.0,4.0,1.0,0.0,105.0,26.0,46.0,21.0,39.0,32.0,57.0,15.0,22.0,9.0,34.0,132.0,53.0,39.0,1.0,15.0,7.0,20.0,4.0,7.0,0.0,5.0,1.0,0.0,0.0
1.0,1.0,46.0,97.0,35.0,33.0,7.0,82.0,14.0,18.0,0.0,39.0,18.0,49.0,6.0,15.0,20.0,19.0,23.0,3.0,10.0,0.0,4.0,1.0,0.0,24.0,36.0,10.0,30.0,52.0,51.0,74.0,31.0,27.0,24.0,53.0,26.0,75.0,5.0,2.0,3.0,9.0,26.0,5.0,9.0,1.0,7.0,1.0,0.0,0.0
1.0,1.0,63.0,17.0,51.0,9.0,14.0,6.0,17.0,27.0,0.0,49.0,31.0,62.0,17.0,21.0,1.0,27.0,6.0,7.0,2.0,2.0,5.0,1.0,0.0,56.0,51.0,25.0,40.0,10.0,64.0,19.0,51.0,35.0,34.0,67.0,55.0,96.0,14.0,3.0,4.0,12.0,6.0,6.0,1.0,1.0,8.0,1.0,0.0,0.0
1.0,3.0,88.0,41.0,66.0,15.0,17.0,20.0,22.0,4.0,0.0,7.0,47.0,78.0,28.0,23.0,2.0,36.0,8.0,10.0,5.0,3.0,1.0,1.0,0.0,80.0,59.0,41.0,46.0,28.0,78.0,33.0,71.0,9.0,44.0,10.0,81.0,23.0,20.0,5.0,7.0,15.0,11.0,7.0,3.0,5.0,2.0,1.0,0.0,0.0
2.0,3.0,19.0,63.0,13.0,28.0,19.0,30.0,30.0,9.0,2.0,21.0,59.0,19.0,39.0,2.0,6.0,12.0,12.0,12.0,9.0,3.0,2.0,1.0,0.0,102.0,4.0,48.0,10.0,39.0,16.0,57.0,102.0,17.0,52.0,27.0,118.0,41.0,29.0,1.0,8.0,5.0,16.0,8.0,7.0,5.0,4.0,1.0,0.0,0.0
3.0,4.0,42.0,81.0,30.0,40.0,5.0,49.0,8.0,14.0,2.0,33.0,63.0,40.0,44.0,6.0,9.0,16.0,19.0,3.0,12.0,0.0,2.0,2.0,0.0,121.0,17.0,56.0,17.0,51.0,29.0,73.0,18.0,26.0,12.0,44.0,146.0,58.0,37.0,3.0,8.0,8.0,19.0,2.0,7.0,1.0,4.0,0.0,0.0,0.0
6.0,1.0,60.0,107.0,53.0,51.0,7.0,65.0,15.0,20.0,3.0,41.0,8.0,61.0,4.0,16.0,10.0,25.0,22.0,5.0,14.0,3.0,3.0,1.0,0.0,24.0,32.0,7.0,30.0,64.0,36.0,103.0,38.0,32.0,25.0,58.0,27.0,79.0,12.0,4.0,3.0,9.0,26.0,6.0,9.0,6.0,5.0,0.0,0.0,0.0
6.0,2.0,74.0,21.0,64.0,6.0,13.0,19.0,20.0,24.0,5.0,48.0,21.0,78.0,11.0,20.0,1.0,29.0,6.0,8.0,1.0,4.0,5.0,1.0,0.0,38.0,51.0,19.0,38.0,8.0,55.0,22.0,66.0,40.0,37.0,68.0,59.0,105.0,20.0,4.0,7.0,11.0,2.0,8.0,0.0,7.0,6.0,1.0,0.0,0.0
0.0,2.0,88.0,41.0,85.0,14.0,18.0,35.0,29.0,3.0,6.0,5.0,38.0,92.0,16.0,25.0,5.0,37.0,14.0,10.0,3.0,5.0,0.0,2.0,0.0,65.0,64.0,23.0,52.0,22.0,64.0,48.0,83.0,10.0,50.0,16.0,81.0,19.0,30.0,4.0,8.0,15.0,5.0,10.0,2.0,7.0,3.0,2.0,0.0,0.0
0.0,7.0,14.0,59.0,18.0,24.0,26.0,56.0,37.0,10.0,7.0,12.0,49.0,12.0,22.0,3.0,7.0,8.0,18.0,12.0,5.0,6.0,0.0,4.0,0.0,89.0,16.0,29.0,12.0,42.0,17.0,66.0,106.0,18.0,64.0,32.0,109.0,38.0,40.0,1.0,10.0,3.0,10.0,10.0,2.0,9.0,3.0,3.0,0.0,0.0
0.0,7.0,32.0,82.0,43.0,33.0,7.0,80.0,9.0,15.0,3.0,23.0,73.0,32.0,34.0,8.0,9.0,17.0,29.0,3.0,7.0,3.0,1.0,5.0,0.0,112.0,31.0,37.0,23.0,53.0,34.0,89.0,22.0,24.0,11.0,45.0,142.0,52.0,46.0,2.0,14.0,7.0,15.0,1.0,2.0,3.0,4.0,0.0,0.0,0.0
1.0,0.0,49.0,99.0,58.0,42.0,12.0,97.0,18.0,21.0,4.0,36.0,21.0,49.0,6.0,14.0,13.0,25.0,36.0,10.0,12.0,6.0,3.0,2.0,0.0,27.0,45.0,11.0,35.0,67.0,47.0,110.0,50.0,29.0,27.0,64.0,34.0,69.0,13.0,3.0,2.0,7.0,17.0,3.0,5.0,3.0,5.0,0.0,0.0,0.0
1.0,0.0,68.0,22.0,74.0,13.0,20.0,14.0,22.0,26.0,5.0,43.0,40.0,65.0,15.0,17.0,4.0,35.0,4.0,17.0,3.0,6.0,4.0,2.0,0.0,49.0,55.0,20.0,48.0,11.0,63.0,17.0,77.0,38.0,43.0,81.0,58.0,84.0,19.0,3.0,6.0,10.0,9.0,3.0,5.0,5.0,9.0,0.0,0.0,0.0
1.0,1.0,89.0,49.0,86.0,20.0,26.0,32.0,27.0,3.0,5.0,9.0,64.0,85.0,22.0,22.0,9.0,42.0,8.0,25.0,7.0,7.0,0.0,4.0,0.0,73.0,63.0,38.0,55.0,26.0,78.0,44.0,91.0,9.0,59.0,19.0,87.0,19.0,32.0,4.0,14.0,15.0,17.0,4.0,5.0,6.0,2.0,0.0,0.0,0.0
1.0,2.0,22.0,68.0,20.0,31.0,31.0,52.0,37.0,7.0,5.0,19.0,78.0,21.0,31.0,5.0,13.0,9.0,15.0,30.0,10.0,8.0,0.0,5.0,0.0,106.0,14.0,47.0,9.0,41.0,17.0,58.0,118.0,16.0,67.0,32.0,122.0,46.0,39.0,1.0,17.0,5.0,27.0,7.0,6.0,8.0,3.0,1.0,0.0,0.0
